,期货结算价(活跃合约):焦煤,综合平均价格指数:环渤海动力煤(Q5500K),期货结算价(连续):布伦特原油,期货结算价(连续):IPE英国天然气,期货结算价(连续):WTI原油,钻机数量:美国:当周值,期货结算价(活跃合约):阴极铜,期货结算价(活跃合约):铝,总库存:LME铝,上期有色金属指数,期货结算价(活跃合约):甲醇,期货结算价(活跃合约):聚丙烯,期货结算价(活跃合约):燃料油,市场价:涤纶长丝(FDY150D/96F):全国,CCFEI价格指数:涤纶短纤,中国铁矿石价格指数(CIOPI):国产铁矿石,全国主要港口:铁矿石库存:总计(45港口),Myspic综合钢价指数,水泥价格指数:全国,22个省市:平均价:猪肉,平均价:羊肉:全国,期货结算价(活跃合约):菜籽油,日均产量:粗钢:重点企业(旬),日均产量:生铁:重点企业(旬),南华工业品指数,日均耗煤量:6大发电集团:合计:月:环比,期货结算价(活跃合约):IPE英国天然气:月:环比,全国主要港口:铁矿石库存:总计:环比,平均批发价:羊肉:月:环比
2014/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,25.31 ,0.16 ,5.71,-1.59 
2014/4/30,1.643545601,-1.100865638,0.316314888,,1.49528872,1.743631658,1.009833662,1.376707405,0.320903883,1.252071869,2.118236087,4.420375354,-4.878162202,2.132029272,-0.095599732,-3.020653969,,1.686368963,-0.042885551,-7.527333894,-1.577599166,0.188393876,5.127288663,,0.329343093,-5.80 ,-11.59 ,1.41,-1.22 
2014/5/31,-2.841329048,0.904428904,1.051904496,,-0.235768516,1.256321963,3.002332273,-0.093455338,-1.411191256,2.774671118,-3.594891256,0.385879096,4.119850187,-2.856583072,-1.068248722,-2.39449015,,-1.44157051,-0.461166326,9.448619009,-0.514955288,1.219520985,1.842459776,,-1.207642477,-7.98 ,-11.62 ,2.56,1.18 
2014/6/30,-1.831771121,-0.988700565,2.43647545,,3.187837397,0.142377435,0.417114066,1.968372713,-3.013095245,0.175289185,0.601896542,2.902791491,-4.177335577,8.603725915,8.84779404,-8.36706062,,-1.701449578,-3.07895634,5.410013207,-0.224059337,-3.700162676,1.017428498,2.035317051,0.4438956,5.32 ,-8.27 ,1.01,0.01 
2014/7/31,-4.314809669,-5.148514851,-3.495787647,,-2.690496696,0.773024124,4.079847057,2.397296873,-2.537126257,4.240233303,0.333081806,-0.073812555,-3.126168582,1.030469415,2.991360769,-3.605519206,,-1.040856066,-3.684920779,0.119918455,-0.047925298,-6.054428931,-1.271611824,-1.124768089,-0.027053093,0.60 ,22.22 ,-0.58,-1.75 
2014/8/31,1.979373635,-5.208333333,-4.632206604,,-6.573561748,1.483718487,-1.201186246,2.482616286,-2.108798818,-1.022879267,5.668937415,-5.492103396,-6.931935039,-0.407981028,-1.933427726,-0.056246361,,-1.438670152,-3.162675866,6.705898147,0.113500367,-5.690005285,-0.991325898,-1.295955522,-1.988832819,-4.15 ,-16.41 ,-3.52,-0.64 
2014/9/30,-1.754385965,0.414937759,-4.895723126,,-3.269659931,1.321585903,-2.390539484,1.525645052,-3.830208344,-2.267879846,-1.09308342,-1.96741526,-18.56941134,-2.333165583,-5.093927373,-3.258325405,,-5.441557844,-0.404102162,2.077125329,0.292543978,-3.294939577,0.78423337,1.553345668,-5.381532716,-7.39 ,19.78 ,0.39,0.32 
2014/10/31,0.086935425,1.932858596,-11.94830975,,-10.30975211,-0.223353418,-2.721813494,-4.225360201,-4.134451849,-2.492889776,-5.268505298,-5.991821686,-2.074470146,-12.79343337,-10.71996818,-2.458819409,,-1.131433642,1.577742362,-3.379541542,-0.104038224,-1.986712456,-3.278246984,-5.168430013,-2.04444748,-3.93 ,9.01 ,-5.05,-0.13 
2014/11/30,-3.453829373,3.67466928,-10.57474691,,-11.25066671,-0.02337966,-0.415521425,-0.127186521,-2.972643399,-0.425196097,-2.146308332,-1.824912665,3.480664719,-2.124267757,-1.95990749,-3.066600246,,-0.078695286,0.678551117,-1.408062478,0.103930097,2.412821609,-4.160070537,-0.630239246,-1.312216522,8.03 ,25.05 ,0.69,-1.56 
2014/12/31,-1.174936239,2.735417461,-25.86308968,,-27.86402631,-2.27151966,-3.451708738,-3.856647474,-2.559782541,-3.140861703,-12.72782434,-21.36203064,-0.437466562,-8.856008901,-4.914578292,-5.671251307,,-2.352351587,-0.97705875,-1.563046775,0.433082937,-2.649454727,5.013609456,4.303782644,-1.582912367,11.14 ,-15.45 ,-3.69,-0.33 
2015/1/31,-2.857313201,-1.470019342,-27.14788083,,-25.28033609,-11.85070724,-8.732148505,-3.778821556,-3.703063767,-8.376047351,-13.94422053,-8.018663259,-0.357322566,-10.89340466,-11.71355578,-4.74592648,,-7.114958617,-2.267941929,-3.779294984,-0.613118421,0.988789648,-1.675988465,-0.975580914,-1.539806096,5.73 ,-5.25 ,-4.17,-1.29 
2015/2/28,0.529689915,-2.039473684,15.37019264,,6.698435263,-24.84511222,-1.386228653,2.130884451,-3.578928964,-0.589133802,7.800329882,7.159054372,1.361241827,2.531898329,2.671755454,-1.732398947,,-6.376511005,-1.117434747,-3.700728094,0.242344976,-2.985588397,-2.593070585,-0.84669966,1.054396322,-30.48 ,-4.72 ,-1.01,-0.87 
2015/3/31,-3.139361385,-4.521230875,-3.260288189,-6.036256879,-5.995447685,-21.58322057,3.184728715,0.36260852,-1.111680793,2.52092404,9.262835654,3.422905419,0.436579172,-0.152572612,0.176333883,-0.430666984,,-0.469176812,-1.335267022,0.150413638,-1.669991005,1.120943953,-1.870954693,-3.278183759,-1.04736503,15.42 ,,2.31,-0.18 
2015/4/30,-6.065881395,-7.245575221,6.865181786,-4.034344801,12.40022062,-13.63403383,1.547528676,0.808500412,-1.587423507,1.671183422,3.485821183,4.53747642,2.383308366,8.509789732,3.758545033,-6.915069796,,-1.391879143,-3.453491549,2.05033763,-2.561531303,0.983774935,5.063655741,4.713844228,-1.388777204,7.10 ,,-1.87,-2.63 
2015/5/31,1.016665436,-8.588588589,6.817489004,-6.818000474,7.990138048,-9.680683607,4.223480644,0.559540351,-2.04414208,4.030933992,0.072743102,-0.492050893,4.079731124,3.07264351,5.17034655,-0.224086489,,-2.35129441,-2.398382026,4.643158191,-1.87732418,1.823429964,0.107417567,-0.849187798,4.212556475,0.59 ,-5.53 ,-10.05,-3.73 
2015/6/30,0.943672275,0.23966447,-2.911003553,1.042514867,0.763240467,-3.328492594,-6.307447699,-3.564893696,-4.247641634,-6.290232655,-0.709712154,0.135741925,-7.600405801,-8.725832589,-3.353351826,0.469985245,,-5.452348734,-3.613970389,5.450520257,-1.053022795,0.326182549,0.389781608,1.533456347,-3.403175805,-3.97 ,0.98 ,-8.85,-1.46 
2015/7/31,-8.174780664,-0.01198466,-12.31121243,0.736499201,-17.47228817,0.65212373,-6.889294037,-3.580894999,-3.704525636,-6.810495802,-7.13824437,-3.974274486,-24.08995782,-0.615149864,-7.720535976,-4.156687817,,-8.412470181,-3.675177821,10.1773783,-0.775709958,-1.561689509,-5.624621594,-4.793405251,-9.277604073,4.46 ,0.83 ,0.82,-0.83 
2015/8/31,-5.450245155,-1.632155907,-17.75439627,-7.525788896,-18.74826518,1.824362606,-3.238733757,-3.312268318,-4.866197795,-2.623058697,-13.81200094,-7.529331306,-22.03066188,-2.405953944,-2.877167015,-0.307302832,,3.318496421,-3.295136031,7.260488704,-0.140023337,-3.807920203,1.997626582,1.170743482,-2.732269981,6.41 ,-6.14 ,-0.73,-0.40 
2015/9/30,-3.09540196,-2.369077307,0.687750917,2.501627571,5.666286121,-4.068396226,2.706251175,-1.122086813,-4.210550852,1.020016704,-4.688023505,-2.481157147,11.77206321,-0.624449676,1.967760735,-0.161394196,,-4.346933105,-0.73035062,0.358324146,-0.100116803,-2.283109663,-1.880024986,-1.962875603,-1.514724525,-19.07 ,2.78 ,1.84,-2.07 
2015/10/31,-2.648174121,-4.517810599,1.527977574,-1.060050873,1.780763564,-7.260308626,-0.951150284,-8.18968288,-3.510048843,-1.082177774,0.332869965,-4.236074446,5.831690974,-4.003700468,-2.370529872,-1.738014235,,-3.074322326,0.234177854,-5.393628353,-0.460983991,1.409817469,1.096119736,1.063333266,-2.635539724,-7.75 ,-1.65 ,1.05,-0.40 
2015/11/30,-3.565225411,-2.106897316,-7.315854852,-7.334044288,-7.843220312,-4.060546232,-8.594789267,-8.201621528,-4.629882971,-8.707314533,-5.01777219,-14.07869369,-2.080818532,-2.788877149,-1.606805213,-4.223635857,,-3.861724212,-0.748455562,-6.496854697,-0.590169463,-1.266798482,-3.255478959,-1.921406412,-5.722529047,12.32 ,-6.77 ,4.84,-0.88 
